138  4mxWe1mtYIYfP040G38yvS   
139  4YLtscXsxbVgi031ovDDdh   
140  0LyfQWJT6nXafLPZqxe9Of   
141  1KCSPY1glIKqW2TotWuXOR   
142  3e7awlrlDSwF3iM0WBjGMp   
143  6Xgp2XMz1fhVYe7i6yNAax   
144  4MoAOfV4ROWofLG3a3hhBN   
145  06HL4z0CvFAxyc27GXpf02   
146  2kucQ9jQwuD8jWdtR9Ef38   
147  7EK1bQADBoqbYXnT4Cqv9w   
148  6I3M904Y9IwgDjrQ9pANiB   
149  2ye2Wgw4gimLv2eAKyk1NB   
150  1Xyo4u8uXC1ZmMpatF05PJ   
151  1RyvyyTE3xzB2ZywiAwp0i   
152  69GGBxA162lTqCwzJG5jLp   
153  32vWCbZh0xZ4o9gkz4PsEU   
154  21WS9wngs9AqFckK7yYJPM   
155  4xRYI6VqpkE3UwrDrAZL8L   

                                                 image  popularity  \
0                                                 None         NaN   
1    [{u'url': u'https://i.scdn.co/image/5c3cf2ee34...        96.0   
2    [{u'url': u'https://i.scdn.co/image/e8eeadc550...        93.0   
3    [{u'url': u'https://i.scdn.co/image/44b684507a...        80.0   
4    [{u'url': u'https://i.scdn.co/image/5d7efd90ad...        91.0   
5    [{u'url': u'https://i.scdn.co/image/1a1fb853d0...        89.0   
6    [{u'url': u'https://i.scdn.co/image/0e874611a1...        84.0   
7    [{u'url': u'https://i.scdn.co/image/f511c43d76...        77.0   
8    [{u'url': u'https://i.scdn.co/image/13d0de938c...        85.0   
9    [{u'url': u'https://i.scdn.co/image/5a06711d7f...        86.0   
10   [{u'url': u'https://i.scdn.co/image/cdc0a00dd1...        90.0   
11   [{u'url': u'https://i.scdn.co/image/d25fc756cd...        86.0   
12   [{u'url': u'https://i.scdn.co/image/bce578f0f9...        85.0   
13   [{u'url': u'https://i.scdn.co/image/fc4e0f474f...        87.0   
14   [{u'url': u'https://i.scdn.co/image/6e1c2c7512...        77.0   
15   [{u'url': u'https://i.scdn.co/image/8f9908fa0d...        73.0   
16   [{u'url': u'https://i.scdn.co/image/f5aceffb43...        87.0   
17   [{u'url': u'https://i.scdn.co/image/70f331108f...        81.0   
18                                                  []         0.0   
19                                                  []         0.0   
20   [{u'url': u'https://i.scdn.co/image/1685533969...        90.0   
21   [{u'url': u'https://i.scdn.co/image/197cff8076...        89.0   
22   [{u'url': u'https://i.scdn.co/image/c52bf07a01...        78.0   
23   [{u'url': u'https://i.scdn.co/image/de3c2c4f4e...        93.0   
24   [{u'url': u'https://i.scdn.co/image/ec0acd56a9...        84.0   
25   [{u'url': u'https://i.scdn.co/image/ed45f57533...        76.0   
26   [{u'url': u'https://i.scdn.co/image/26953695e4...        67.0   
27   [{u'url': u'https://i.scdn.co/image/0520ee7557...        93.0   
28   [{u'url': u'https://i.scdn.co/image/14986410ca...        85.0   
29   [{u'url': u'https://i.scdn.co/image/ccbe7b4fef...        87.0   
..                                                 ...         ...   
126  [{u'url': u'https://i.scdn.co/image/548c808ed4...        87.0   
127  [{u'url': u'https://i.scdn.co/image/9a2ebadd16...        82.0   
128  [{u'url': u'https://i.scdn.co/image/cb080366dc...        98.0   
129  [{u'url': u'https://i.scdn.co/image/fdb2382075...        83.0   
130  [{u'url': u'https://i.scdn.co/image/aa32d6d4ca...        92.0   
131  [{u'url': u'https://i.scdn.co/image/5c3cf2ee34...        96.0   
132  [{u'url': u'https://i.scdn.co/image/10bd9f90a2...        45.0   
133  [{u'url': u'https://i.scdn.co/image/0f9a6de963...        75.0   
134  [{u'url': u'https://i.scdn.co/image/a57e5f1919...        92.0   
135  [{u'url': u'https://i.scdn.co/image/6318ebb61a...        96.0   
136  [{u'url': u'https://i.scdn.co/image/6c3ecb13aa...        95.0   
137  [{u'url': u'https://i.scdn.co/image/3fc1d32020...        99.0   
138  [{u'url': u'https://i.scdn.co/image/42c9789b6b...        75.0   
139  [{u'url': u'https://i.scdn.co/image/e11519e9cd...        80.0   
140                                                 []         0.0   
141  [{u'url': u'https://i.scdn.co/image/afc2d276d9...        89.0   
142  [{u'url': u'https://i.scdn.co/image/aa8c3147f9...        87.0   
143  [{u'url': u'https://i.scdn.co/image/03a50162b3...        85.0   
144  [{u'url': u'https://i.scdn.co/image/3d4f9f694c...        76.0   
145  [{u'url': u'https://i.scdn.co/image/bdaeccb035...        95.0   
146  [{u'url': u'https://i.scdn.co/image/9274931306...        80.0   
147  [{u'url': u'https://i.scdn.co/image/008be1fdf0...        74.0   
148  [{u'url': u'https://i.scdn.co/image/0b4efeba9b...        70.0   
149  [{u'url': u'https://i.scdn.co/image/5a06711d7f...        86.0   
150  [{u'url': u'https://i.scdn.co/image/a1bbafd8c2...        94.0   
151  [{u'url': u'https://i.scdn.co/image/5edf0373e8...        95.0   
152  [{u'url': u'https://i.scdn.co/image/6735a98c7c...        90.0   
153  [{u'url': u'https://i.scdn.co/image/fe6a6334ee...        73.0   
154  [{u'url': u'https://i.scdn.co/image/a560bd71cd...        86.0   
155  [{u'url': u'https://i.scdn.co/image/9aab47129b...        90.0   

                                        related_artist  
0                                                 None  
1    [[Cody Simpson], [One Direction], [Nick Jonas]...  
2    [[Waka Flocka Flame], [Yo Gotti], [2 Chainz], ...  
3    [[*NSYNC], [O-Town], [Five], [Westlife], [Sava...  
4    [[Smokepurpp], [Ugly God], [Jay Critch], [SahB...  
5    [[KB], [Nate Feuerstein], [Nathan Feuerstein],...  
6    [[Hilary Duff], [Jordin Sparks], [Ashlee Simps...  
7    [[Chase Rice], [Dylan Schneider], [Seth Ennis]...  
8    [[Fall Out Boy], [All Time Low], [My Chemical ...  
9    [[Megadeth], [Slayer], [Pantera], [Anthrax], [...  
10   [[Kesha], [Rachel Platten], [JoJo], [Taylor Sw...  
11   [[Halsey], [M?], [Broods], [HAIM], [Tove Lo], ...  
12   [[Perry Como], [Dinah Shore], [Jimmy Durante],...  
13   [[Dean Martin], [Ella Fitzgerald], [Bobby Dari...  
14   [[Beanie Sigel], [Lloyd Banks], [Juelz Santana...  
15   [[Katherine Jenkins], [Jackie Evancho], [Il Di...  
16   [[Vic Mensa], [Ab-Soul], [Isaiah Rashad], [Mic...  
17   [[YFN Lucci], [Blac Youngsta], [Jay Critch], [...  
18                                                  []  
19                                                  []  
20   [[Papa Roach], [Limp Bizkit], [Breaking Benjam...  
21   [[George Harrison], [John Lennon], [Paul McCar...  
22   [[Little Big Town], [Dierks Bentley], [Rascal ...  
23   [[WALK THE MOON], [fun.], [OneRepublic], [Amer...  
24   [[Kehlani], [Mila J], [Teyana Taylor], [Sevyn ...  
25   [[Barry Manilow], [Captain & Tennille], [Bread...  
26   [[Citizen Zero], [Highly Suspect], [grandson],...  
27   [[Ellie Goulding], [Lady Gaga], [Florence + Th...  
28   [[Cold War Kids], [Local Natives], [Minus The ...  
29   [[Leona Lewis], [Jessie J], [Emeli Sand?], [El...  
..                                                 ...  
126  [[Macklemore & Ryan Lewis], [Hoodie Allen], [C...  
127  [[Kevin Abstract], [Domo Genesis], [Amin?], [V...  
128  [[J. Cole], [Big Sean], [Jeremih], [Wale], [Br...  
129  [[Makaveli], [Eazy-E], [The Notorious B.I.G.],...  
130  [[Charlie Puth], [Ne-Yo], [Justin Timberlake],...  
131  [[Cody Simpson], [One Direction], [Nick Jonas]...  
132  [[The Beat Farmers], [Dave Alvin], [Robert Gor...  
133  [[The Flaming Lips], [Pavement], [Yo La Tengo]...  
134  [[Lupe Fiasco], [Pusha T], [Kid Cudi], [JAY Z]...  
135  [[James Arthur], [Jess Glynne], [Ella Henderso...  
136  [[D12], [Bad Meets Evil], [Dr. Dre], [50 Cent]...  
137  [[Desiigner], [NAV], [Lil Yachty], [Travis Sco...  
138  [[Brooks & Dunn], [Travis Tritt], [Joe Diffie]...  
139  [[Sturgill Simpson], [Tyler Childers], [Brothe...  
140                                                 []  
141  [[Christina Aguilera], [Gwen Stefani], [Kelly ...  
142  [[Cher Lloyd], [The Saturdays], [Olly Murs], [...  
143  [[Lil Tracy], [6LACK], [D Savage], [MadeinTYO]...  
144  [[Frankie Ballard], [Cole Swindell], [Thomas R...  
145  [[Meghan Trainor], [Selena Gomez], [Miley Cyru...  
146  [[Cole Swindell], [Thomas Rhett], [Kelsea Ball...  
147  [[Gordon Lightfoot], [Jim Croce], [Don McLean]...  
148  [[Peter White], [Dave Koz], [Boney James], [Ea...  
149  [[Megadeth], [Slayer], [Pantera], [Anthrax], [...  
150  [[Frank Ocean], [Jhene Aiko], [A$AP Rocky], [M...  
151  [[2 Chainz], [Young Thug], [Yo Gotti], [Desiig...  
152  [[Cheat Codes], [Zedd], [DVBBS], [Alesso], [Sy...  
153  [[Reba McEntire], [Loretta Lynn], [Tammy Wynet...  
154  [[A Boogie Wit da Hoodie], [Zoey Dollaz], [Mad...  
155  [[Skizzy Mars], [Mike Stud], [Vic Mensa], [Mac...  

[156 rows x 8 columns]
